season,team,gpa,n_sources,gpa_z,class_sent,fan_year_z,fan_team_z,class_resid,n_picks,n_scored
2021,CHI,3.99,18,1.5991949240990355,0.18295525293908385,-1.086898574619243,0.8701105861041488,0.043210142069371384,7.0,7
2021,CLE,3.89,18,1.4328287421381474,0.20189483761912216,-0.4573076314821141,-0.2640345245338367,0.02435734553915219,8.0,8
2021,LAC,3.76,18,1.2165527055889924,0.24543791679606627,0.9901543244815088,1.2017490798688244,0.004000424901152427,9.0,9
2021,NYJ,3.69,18,1.100096378216371,0.21380692126133855,-0.06132534878000969,0.5296570931022545,-0.018867591834086716,10.0,8
2021,MIA,3.64,18,1.0169132872359272,0.17253340480392423,-1.4333423487302284,-0.32958534303553194,-0.06789305062851693,7.0,7
2021,NWE,3.57,18,0.9004569598633052,0.2160771660545512,0.014142280772468315,1.1918950453289816,-0.09868707022131384,8.0,8
2021,BAL,3.47,18,0.7340907779024178,0.22698722015444622,0.37681503027946045,-0.3847316532467109,-0.05605734891781435,8.0,8
2021,DET,3.47,18,0.7340907779024178,0.22015885773886226,0.14982614926979865,0.6596376274122696,0.15181193005653068,7.0,7
2021,JAX,3.46,18,0.7174541597063286,0.21136695592821,-0.1424348398938977,0.5551600763609075,-0.06913086039002825,9.0,9
2021,NYG,3.44,18,0.684180923314151,0.21005934264794757,-0.1859026081838092,-0.18568183712202094,-0.12774918190912354,6.0,6
2021,DEN,3.41,18,0.6342710687258849,0.22270388861906748,0.23442823634039428,-0.4311369917219639,0.05265188223024544,10.0,10
2021,ATL,3.37,18,0.5677245959415297,0.30890117629201774,3.099804249525779,1.5342712108272207,0.027119097865236474,9.0,8
2021,MIN,3.33,18,0.5011781231571744,0.22104033329939032,0.1791282189234226,0.28159226035669754,-0.14592068171109157,11.0,11
2021,KAN,3.32,18,0.4845415049610852,0.2403281401492748,0.8202947867660805,0.11413986047217878,0.16403072908034266,6.0,6
2021,CAR,3.32,18,0.4845415049610852,0.18120640334513227,-1.1450339500174924,-1.1380040707989039,-0.020492777297678223,11.0,9
2021,SFO,3.19,18,0.268265468411931,0.20377590600411985,-0.39477703017149796,1.0689580545674855,0.08060469365706027,8.0,8
2021,PHI,3.13,18,0.1684457592353981,0.20164905402135935,-0.4654779863097054,0.9153667369608502,0.05189593851197449,9.0,9
2021,WAS,3.09,18,0.10189928645104283,0.2353306163697633,0.6541667663872028,1.5958439305435395,0.04096758508491389,10.0,9
2021,TEN,3.03,18,0.0020795772745099473,0.20489693181773597,-0.3575118149516777,0.3381610393865354,-0.1510596321323191,8.0,8
2021,CIN,3.01,18,-0.031193659117667683,0.18726695159727347,-0.9435687988827245,-0.9723062216042302,-0.04234841872431273,10.0,9
2021,BUF,2.99,18,-0.06446689550984458,0.21875312108992828,0.10309655738294099,0.41207158247003994,-0.0013120523747183338,8.0,6
2021,TAM,2.74,18,-0.48038235041206456,0.27725788788820166,2.04791593588624,0.9201137277353255,-0.0581811262467823,7.0,5
2021,ARI,2.58,18,-0.7465682415494856,0.23895124077685334,0.7745238055575316,0.3421876800615941,-0.02373014468758725,7.0,5
2021,PIT,2.5,18,-0.8796611871181962,0.2086004178898651,-0.2344002827592891,0.5275354419133694,0.06659673308425267,9.0,9
2021,IND,2.49,18,-0.8962978053142846,0.208578831616467,-0.23511785510615527,-0.246123357598987,0.022409402417962028,7.0,7
2021,GNB,2.47,18,-0.9295710417064622,0.25445651011578174,1.2899510079808212,1.225508754813248,0.05892929691921864,9.0,9
2021,DAL,2.42,18,-1.0127541326869067,0.1703804433259311,-1.5049112384586412,-1.7672755640470406,-0.0026947888675437374,11.0,10
2021,NOR,2.22,18,-1.3454864966086821,0.19395430840590064,-0.7212672357087656,-1.0349005048030484,-8.422099053300343e-05,6.0,6
2021,LVR,2.05,18,-1.6283090059421925,0.18506057723302874,-1.0169132433552848,-0.7817298864752885,0.028251727416098753,7.0,7
2021,LAR,2.03,18,-1.66158224233437,0.22314471940442493,0.24908236284875424,0.3869703334410096,-0.015577716369143938,9.0,9
2021,SEA,1.97,18,-1.7614019515109025,0.23832732945290794,0.7537837035166073,0.44903775475146074,0.02766232831470944,3.0,3
2021,HOU,1.88,18,-1.911131515275702,0.17501278492757538,-1.3509226285084743,-0.9337130994677469,0.20465133052662238,5.0,4
2025,NWE,3.67,24,1.4939467646870763,0.21655594050089969,0.2592634387914686,1.2117823661205245,0.10188883398277215,11.0,11
2025,NYG,3.65,24,1.4478239509196025,0.18230301505291552,-0.9593967850867263,-1.2467027737930727,0.03823416744459148,7.0,7
2025,SEA,3.63,24,1.4017011371521289,0.19293733515706976,-0.5810459508316718,-1.3205005602970734,-0.10477692696598866,11.0,11
2025,KAN,3.49,24,1.078841440779814,0.24164270537013183,1.1518074213001888,0.19869363954727057,0.03396534377284805,7.0,7
2025,PHI,3.46,24,1.0096572201286027,0.19789078744682162,-0.4048106308568572,0.7062338292423702,-0.10250311588831781,10.0,9
2025,LVR,3.44,24,0.963534406361129,0.20336453435855253,-0.21006412235694888,0.09049645198084649,-0.040393788689255354,11.0,10
2025,DAL,3.4,24,0.8712887788261816,0.19286239604948824,-0.5837121554967657,-0.24291475245791827,-0.08842775581828544,9.0,9
2025,BAL,3.39,24,0.8482273719424452,0.2531341620272081,1.5606537011213284,1.6384779470268263,-0.06613093350924738,11.0,11
2025,CLE,3.33,24,0.7098589306400241,0.176759721961755,-1.1566176271358164,-1.2238298399270846,0.09133975894190483,7.0,7
2025,JAX,3.28,24,0.5945518962213393,0.22749452724190505,0.6484395571042818,1.081963413822481,-0.07710164652262749,9.0,8
2025,CAR,3.27,24,0.5714904893376029,0.20059630401928888,-0.3085530006314904,-0.2769116366653921,0.06735324252924432,8.0,8
2025,TAM,3.26,24,0.5484290824538656,0.2686228954684459,2.111716219613436,0.547584953719534,0.13342116144656513,6.0,6
2025,NYJ,3.24,24,0.5023062686863929,0.22535159475359076,0.5721977017938286,1.310743178349514,0.04763194150269462,7.0,7
2025,ARI,3.17,24,0.34087642050023437,0.26375344936789785,1.9384696954860796,0.9543735626787955,-0.022537761453399748,7.0,6
2025,TEN,3.12,24,0.2255693860815506,0.22567906985418512,0.5838487031078884,0.9598921057781198,0.03368074077627958,9.0,9
2025,PIT,3.1,24,0.1794465723140769,0.1688754918430482,-1.43712498573096,-0.8267570598397934,-0.03817449595813773,7.0,7
2025,BUF,3.05,24,0.06413953789539209,0.21802484791467913,0.3115246402602661,0.38614701242276656,-0.046685920570791434,9.0,9
2025,LAR,3.05,24,0.06413953789539209,0.2235771520437332,0.5090660795521641,0.40056570388426926,-0.09738988907043937,6.0,6
2025,CHI,3.04,24,0.04107813101165575,0.1556407424205992,-1.9079946263000904,-0.6638684894662987,0.02197776190403504,8.0,8
2025,WAS,2.98,24,-0.09729031029076539,0.21622665113171263,0.24754788891869653,0.5868684238579774,0.23144487447877565,5.0,5
2025,HOU,2.93,24,-0.21259734470944916,0.1652777512956893,-1.5651264116984487,-1.2662656885855743,-0.012152260979631818,9.0,7
2025,IND,2.92,24,-0.23565875159318653,0.2209849953091928,0.4168415975516552,0.8284049155992336,-0.06701225517880569,8.0,8
2025,LAC,2.82,24,-0.4662728204305551,0.18928957064361987,-0.7108271435466256,-1.5697072951526292,0.020583039080301447,9.0,9
2025,DEN,2.8,24,-0.5123956341980288,0.22544849450126017,0.575645228293948,-0.3390754583096733,0.05237625666573358,7.0,7
2025,GNB,2.65,24,-0.8583167374540812,0.19434154594688932,-0.5310865440623912,-0.8838069501038521,-0.04947580339145272,8.0,8
2025,ATL,2.6,24,-0.9736237718727649,0.2114009436874921,0.07585751101870998,-0.19541558761704728,0.0739557880918385,5.0,5
2025,SFO,2.45,24,-1.3195448751288172,0.16818078164262007,-1.4618415808045655,-0.9617715521735671,-0.06041821905183156,11.0,11
2025,NOR,2.44,24,-1.3426062820125546,0.21302721515122355,0.1337174549550995,-0.4171133179232087,0.02674729365950187,9.0,9
2025,MIN,2.36,24,-1.5270975370824496,0.23585069446010287,0.945737626676669,0.7308972950440303,-0.11652559417389734,5.0,5
2025,DET,2.33,24,-1.5962817577336597,0.2186701845165197,0.3344846075445236,0.5530595878489486,-0.0664958681080141,7.0,7
2025,MIA,2.33,24,-1.5962817577336597,0.17759599266552534,-1.1268645526246428,-0.2250978810304319,0.13594709522562762,8.0,8
2025,CIN,2.06,24,-2.218939743594554,0.22524055347916175,0.5682470440737784,0.31859300155126535,0.13492214969356722,6.0,6
2026,CLE,3.83,24,1.6158735968744098,0.21076740656112744,0.48039951447904056,0.07476837663937791,,,10
2026,LVR,3.68,24,1.3516080682544045,0.20249436927917652,0.20469507869181786,0.04903105213142396,,,10
2026,NYG,3.68,24,1.3516080682544045,0.19240948504375474,-0.13139035442625263,-0.8603700999404486,,,7
2026,NYJ,3.62,24,1.245901856806402,0.19473100383277986,-0.05402420628934111,-0.7609756542658211,,,8
2026,DAL,3.55,24,1.1225779434503989,0.198192837428584,0.061343686516209396,0.11850918818815218,,,7
2026,TAM,3.55,24,1.1225779434503989,0.22022261887583977,0.7955007146348104,-1.5404881822588319,,,7
2026,KAN,3.4,24,0.8583124148303934,0.21366398569896985,0.5769299288474332,-1.6009177029291846,,,7
2026,PHI,3.34,24,0.7526062033823911,0.17345036234820269,-0.7632156499802536,-0.6537807054846102,,,8
2026,CAR,3.3,24,0.6821353957503896,0.23444179825156325,1.2693642660168352,1.226143974741887,,,7
2026,BAL,3.28,24,0.6468999919343887,0.24140540125476073,1.501430938946179,0.7309247230359452,,,11
2026,IND,3.12,24,0.3650167614063833,0.22730958345395255,1.031678493588546,1.3761930107912517,,,8
2026,TEN,3.12,24,0.3650167614063833,0.21494653732213942,0.6196718094389063,0.6388111426679712,,,8
2026,WAS,3.09,24,0.31216365568238175,0.19494087204358543,-0.047030209444185025,-0.5373395336535461,,,6
2026,NOR,3.08,24,0.29454595377438175,0.21398907884858673,0.5877638729406085,-0.38595775911455704,,,7
2026,CIN,2.92,24,0.012662723246375488,0.17919096626281614,-0.5719062300638968,-1.2468464990025283,,,7
2026,DET,2.89,24,-0.04019038247762529,0.20856910343957846,0.4071396099046679,-0.17010342905311263,,,7
2026,BUF,2.88,24,-0.057808084385626075,0.1509724749387555,-1.5123061054808888,-2.0007374687412427,,,7
2026,MIA,2.87,24,-0.07542578629362608,0.17581289453622329,-0.6844827032125134,-0.2618994937885935,,,12
2026,NWE,2.86,24,-0.09304348820162686,0.16348944557174605,-1.09516978558749,-0.992492352356682,,,9
2026,CHI,2.82,24,-0.16351429583362842,0.14288431836773305,-1.781849269372761,-1.380267473184416,,,7
2026,GNB,2.81,24,-0.18113199774162841,0.2019405255132377,0.1862378691086378,-0.6171737222171904,,,6
2026,PIT,2.76,24,-0.26922050728163077,0.15635752709091152,-1.332845683063352,-1.2535164647798942,,,9
2026,SEA,2.71,24,-0.35730901682163235,0.24945292871084399,1.7696201107274043,0.8827715427858536,,,8
2026,LAC,2.65,24,-0.4630152282696347,0.21032139467187871,0.46553587346197556,-0.5315861967468181,,,8
2026,HOU,2.63,24,-0.49825063208563547,0.1936544172468453,-0.08990216587484268,-0.2969075857353085,,,8
2026,DEN,2.51,24,-0.7096630549816402,0.2694656165986721,2.436556162706405,1.1373783316408006,,,7
2026,ATL,2.41,24,-0.8858400740616433,0.19605002756670023,-0.010066868499523419,-0.46774598364654885,,,6
2026,ARI,2.36,24,-0.9739285836016456,0.16771341985717805,-0.9544030505353615,-1.4161552560261366,,,5
2026,MIN,2.32,24,-1.0443993912336471,0.19330247948051446,-0.10163072456394061,-0.5598968321106859,,,9
2026,SFO,2.04,24,-1.5376950446576574,0.17426927719628485,-0.7359247713762315,-0.6144181322003669,,,8
2026,LAR,1.79,24,-1.9781375923576667,0.1654284808666342,-1.0305501527091308,-1.4275865990975722,,,5
2026,JAX,1.34,24,-2.7709341782176837,0.15142666265786744,-1.4971699995295191,-1.402775556292468,,,10
2022,NYJ,4.08,18,2.027792232624344,0.2130271069636703,-0.14602974019846907,0.4768966493015438,0.0671599878716729,7.0,6
2022,BAL,4.08,18,2.027792232624344,0.21756770730582844,-0.01487914231458316,-1.113598872899514,0.027084163674313454,11.0,11
2022,PHI,3.77,18,1.4839777166028925,0.1545485839321687,-1.8351220806405544,-1.7055911087106805,0.06360036457374585,5.0,5
2022,KAN,3.72,18,1.3962656978897554,0.24674354254081005,0.8278350246431028,0.526783149587985,0.14097054427615582,10.0,10
2022,DET,3.55,18,1.098044834265088,0.226093929863567,0.2313920777609097,1.0845450834102854,0.017965672819663006,8.0,8
2022,NYG,3.47,18,0.9577056043240689,0.2540352967379223,1.0384498884298305,1.4953549585346018,-0.00975119954893593,11.0,11
2022,TEN,3.27,18,0.6068575294715193,0.20619224828454286,-0.3434476441475702,0.37691251369634743,-0.11640184811790807,9.0,9
2022,SEA,3.26,18,0.5893151257288914,0.23441345587573437,0.4716930794755174,0.2964545838895132,0.051338649202470735,9.0,9
2022,ATL,3.24,18,0.5542303182436372,0.1819842193958951,-1.0426718046310517,-0.7172781340074071,-0.0392767249015728,8.0,8
2022,PIT,3.24,18,0.5542303182436372,0.23640037768862707,0.5290832843103159,1.4752848992725092,0.02179394988815897,7.0,7
2022,HOU,3.13,18,0.36126387707473456,0.21379832977532578,-0.12375375789912554,0.39121641255963907,-0.07958906121523851,9.0,8
2022,IND,3.06,18,0.23846705087634257,0.20998162160832112,-0.2339954705209976,-0.12462427497036128,0.06613047292431111,8.0,8
2022,BUF,3.04,18,0.2033822433910876,0.20869650389954364,-0.2711147814395242,0.05408300668383516,0.11630117932816611,8.0,7
2022,GNB,3.02,18,0.16829743590583265,0.253020718790356,1.0091448418729507,1.1751296647884142,0.15374472698489833,11.0,11
2022,CAR,2.94,18,0.027958205964812802,0.22826894405219553,0.294215138534628,0.9520116757987919,-0.14459345098513138,6.0,6
2022,LAC,2.93,18,0.01041580222218571,0.23572183312094538,0.5094842183198444,0.7221676872389292,0.017400081926657724,8.0,8
2022,TAM,2.92,18,-0.007126601520442158,0.23925310773234557,0.6114814745586958,-0.7194793917455187,0.1352636950204879,8.0,7
2022,DEN,2.86,18,-0.11238102397620704,0.2635750098583442,1.313994747061766,0.9397913874599072,-0.03079828150934785,9.0,9
2022,CIN,2.8,18,-0.2176354464319719,0.2607452707962387,1.232260627807807,1.5255633633707069,0.06261118710437709,6.0,5
2022,MIN,2.79,18,-0.23517785017459902,0.1550399648334735,-1.820929045768823,-1.7206747688646746,-0.15590148352945343,10.0,9
2022,CLE,2.78,18,-0.2527202539172269,0.18893469662063933,-0.8419143772177694,-0.7589231411905045,-0.09979690680976537,9.0,8
2022,JAX,2.71,18,-0.37551708011561885,0.18199414516454035,-1.042385108953347,-0.40429590370898705,-0.03804543443880897,7.0,7
2022,LVR,2.69,18,-0.4106018876008738,0.20065889080822327,-0.5032730167060494,-0.03843378703180725,-0.018151316488460984,6.0,6
2022,DAL,2.49,18,-0.7614499624534227,0.21374045028061422,-0.12542554791908364,1.1726957189053275,0.03802390708653271,9.0,8
2022,NOR,2.47,18,-0.7965347699386776,0.26778020747572007,1.435457580206998,1.356381281147221,-0.04128936445300879,5.0,5
2022,WAS,2.38,18,-0.9544164036223253,0.19103118022379728,-0.7813595921037721,-0.7438298217010794,0.0010023810996913941,8.0,8
2022,ARI,2.34,18,-1.0245860185928353,0.2638909999804549,1.3231217986226447,0.9577686854495626,-0.04686833750061936,8.0,8
2022,SFO,2.3,18,-1.0947556335633453,0.19997812020649597,-0.5229363794136936,0.8522914127833311,-0.012891833628551655,9.0,9
2022,CHI,2.29,18,-1.1122980373059723,0.16108522405894665,-1.6463179146321312,-0.3581071650998739,-0.004891364851855689,11.0,11
2022,MIA,2.18,18,-1.3052644784748741,0.2859386016814515,1.9599442289396751,2.011000445074426,-0.11424093633197134,4.0,4
2022,LAR,2.16,18,-1.3403492859601291,0.21928238983037326,0.034647709055079114,0.2655414759496235,0.10211895967821209,8.0,7
2022,NWE,1.61,18,-2.30518149180464,0.1652282684078005,-1.5266503150932171,-0.9202651735587852,-0.13209352617366849,10.0,10
2023,PHI,4.12,29,2.2663369567924434,0.18885605274432576,-0.6538486711923386,0.2034860061903508,0.0723472754807543,7.0,7
2023,PIT,3.94,29,1.9203496556759716,0.18314283705617979,-0.8389198780412866,-0.3403582023744253,0.13123013768112807,7.0,7
2023,IND,3.77,29,1.5935838712881931,0.20747763566777344,-0.05062992133299177,-0.34150064025537896,-0.10441704436140718,12.0,12
2023,SEA,3.61,29,1.2860396036291069,0.24939604114565475,1.3072550797656801,0.8805537692916322,0.02856580764997648,10.0,10
2023,ARI,3.41,29,0.9016092690552501,0.1841746691685051,-0.8054951966154191,-1.0098469064432998,0.01714931340828044,9.0,9
2023,NYG,3.39,29,0.8631662355978643,0.21901929563436212,0.32324515281985006,0.15682376552390367,-0.013996810127571615,7.0,7
2023,HOU,3.37,29,0.8247232021404786,0.22782343930410115,0.6084424188027996,0.8703196866540024,0.059418981801933696,9.0,8
2023,CHI,3.28,29,0.6517295515822422,0.19081555571784503,-0.5903734586450948,1.3115440865180825,0.008316999078925868,10.0,10
2023,CIN,3.22,29,0.5364004512100857,0.2207820024001977,0.380345442093169,0.1670261277494176,0.1446663250647634,8.0,8
2023,TEN,3.17,29,0.4402928675666209,0.13462735540513315,-2.410507444505271,-1.764066296476024,0.0017901276868313072,6.0,6
2023,BAL,3.14,29,0.38262831738054265,0.22739771208047838,0.5946516124749736,-0.3529684279477632,0.063299879981774,6.0,5
2023,BUF,3.12,29,0.3441852839231569,0.22081445673808972,0.38139675256506655,0.4854495980524768,-0.00824172637170432,6.0,6
2023,CAR,3.12,29,0.3441852839231569,0.21357082018064527,0.146749815912051,0.299277890595965,-0.15098859991685948,5.0,5
2023,NWE,3.1,29,0.30574225046577114,0.18825187647495134,-0.6734200715080345,0.036088873534444996,0.019508827031482597,12.0,12
2023,GNB,2.98,29,0.0750840497214565,0.22166183917505808,0.40884645844571904,0.07480833588739964,0.02749467720251911,13.0,12
